cut,ntr,nte,model,depth,n,units,roi,hit,be,edge_pp
2026-06-30,792,336,H_ridge_PROFIT+price,0.1,34,3.6631231087752827,10.77389149639789,55.88235294117647,50.80918982046069,5.073163120715783
2026-06-30,792,336,H_ridge_PROFIT+price,0.2,67,-0.8321538559169728,-1.2420206804730938,50.74626865671642,50.97658433336464,-0.2303156766482246
2026-06-30,792,336,H_ridge_PROFIT+price,0.3,101,1.7248285440528033,1.7077510337156467,52.475247524752476,51.08014045025777,1.3951070744947032
2026-06-30,792,336,H_ridge_PROFIT+price,0.5,168,-2.942471647010507,-1.7514712184586352,51.19047619047619,51.6931434835493,-0.5026672930731095
2026-06-30,792,336,I_gbm_PROFIT,0.05,17,-7.575925925925925,-44.56427015250544,29.411764705882355,52.34752230852007,-22.935757602637715
2026-06-30,792,336,I_gbm_PROFIT,0.1,34,-9.169131271305185,-26.968033150897604,38.23529411764706,51.77159867344925,-13.53630455580219
2026-06-30,792,336,I_gbm_PROFIT,0.2,67,-8.54789541142977,-12.758052852880256,46.26865671641791,52.35803224136056,-6.089375524942653
2026-06-30,792,336,I_gbm_PROFIT,0.3,101,-2.29072656344746,-2.2680461024232277,51.48514851485149,52.650820332716656,-1.1656718178651673
2026-06-30,792,336,I_gbm_PROFIT,0.5,168,9.155713934485036,5.449829722907759,55.35714285714286,52.39565514004193,2.9614877171009297
2026-06-30,792,336,J_gbm_PROFIT+price,0.05,17,-5.302380952380952,-31.19047619047619,35.294117647058826,51.48062736936654,-16.18650972230771
2026-06-30,792,336,J_gbm_PROFIT+price,0.1,34,-8.919131271305183,-26.23273903325054,38.23529411764706,51.537302812664976,-13.302008695017918
2026-06-30,792,336,J_gbm_PROFIT+price,0.2,67,-7.92408588762025,-11.826993862119776,46.26865671641791,52.21551975058638,-5.946863034168473
2026-06-30,792,336,J_gbm_PROFIT+price,0.3,101,-3.0883535040617787,-3.05777574659582,50.495049504950494,52.075793661019475,-1.580744156068981
2026-06-30,792,336,J_gbm_PROFIT+price,0.5,168,1.9671010980461094,1.1708935107417318,52.976190476190474,52.386691401333486,0.5894990748569882
2026-06-30,792,336,K_PROFIT+price+pmodel,0.05,17,-5.097619047619048,-29.985994397759107,35.294117647058826,50.42967100038936,-15.135553353330536
2026-06-30,792,336,K_PROFIT+price+pmodel,0.1,34,3.6631231087752827,10.77389149639789,55.88235294117647,50.80918982046069,5.073163120715783
