rid,date,away,home,gn,y_nrfi,nrfi_odds,yrfi_odds,pay_n,pay_y,imp_n,imp_y,vig,dev_n,dev_y,p_raw,p_live,lam,park
1111,2026-06-22,MIL,CIN,1,1,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.44822694479498476,0.4384,0.8022,1.09
1112,2026-06-22,HOU,TOR,1,0,-145.0,110.0,0.6896551724137931,1.1,0.5918367346938775,0.47619047619047616,1.0680272108843538,0.554140127388535,0.4458598726114649,0.5486076857376092,0.5507,0.6,1.01
1113,2026-06-23,BOS,COL,1,0,110.0,-140.0,1.1,0.7142857142857143,0.47619047619047616,0.5833333333333334,1.0595238095238095,0.449438202247191,0.550561797752809,0.3543333354393033,0.3428,1.0371,1.22
1114,2026-06-23,KC,TB,1,0,-120.0,-110.0,0.8333333333333334,0.9090909090909091,0.5454545454545454,0.5238095238095238,1.0692640692640691,0.5101214574898786,0.48987854251012153,0.35938455357340443,0.3511,1.024,0.93
1115,2026-06-23,TEX,MIA,1,1,-115.0,-115.0,0.8695652173913043,0.8695652173913043,0.5348837209302325,0.5348837209302325,1.069767441860465,0.5,0.5,0.41629812703538566,0.4064,0.8766,0.95
1116,2026-06-23,MIL,CIN,1,1,-110.0,-120.0,0.9090909090909091,0.8333333333333334,0.5238095238095238,0.5454545454545454,1.0692640692640691,0.48987854251012153,0.5101214574898786,0.4359565797641831,0.4199,0.8309,1.09
1117,2026-06-23,BAL,LAA,1,0,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.3928799551056935,0.4064,0.9329,0.99
1118,2026-06-23,ARI,STL,1,1,-115.0,-115.0,0.8695652173913043,0.8695652173913043,0.5348837209302325,0.5348837209302325,1.069767441860465,0.5,0.5,0.44898283385881793,0.4384,0.801,0.97
1119,2026-06-23,PHI,WSH,1,1,-130.0,100.0,0.7692307692307693,1.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.40169811816955786,0.4064,0.9125,0.97
1120,2026-06-23,OAK,SF,1,1,-105.0,-120.0,0.9523809523809523,0.8333333333333334,0.5121951219512195,0.5454545454545454,1.057649667405765,0.48427672955974843,0.5157232704402516,0.4331186864563445,0.4137,0.8371,0.94
1121,2026-06-23,NYY,DET,1,1,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.5164499779009105,0.5375,0.661,0.98
1122,2026-06-23,CLE,CWS,1,1,-160.0,125.0,0.625,1.25,0.6153846153846154,0.4444444444444444,1.0598290598290598,0.5806451612903226,0.4193548387096774,0.4312792942412953,0.4109,0.8398,0.98
1123,2026-06-23,HOU,TOR,1,0,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.46630511119896384,0.4772,0.7638,1.01
1124,2026-06-23,SEA,PIT,1,1,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.47291833523292354,0.4772,0.7489,0.96
1125,2026-06-23,CHC,NYM,1,1,-115.0,-110.0,0.8695652173913043,0.9090909090909091,0.5348837209302325,0.5238095238095238,1.0586932447397563,0.5052301255230125,0.4947698744769875,0.509149442979457,0.5038,0.6751,0.96
1126,2026-06-23,LAD,MIN,1,0,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.517989353109842,0.54,0.6579,0.97
1127,2026-06-23,ATL,SD,1,1,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.5040255565517864,0.4795,0.6845,0.95
1128,2026-06-24,CLE,CWS,1,1,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.3842967944730427,0.396,0.9562,0.98
1129,2026-06-24,BOS,COL,1,0,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.34967863816178857,0.3345,1.0503,1.22
1130,2026-06-24,NYY,DET,1,0,-160.0,125.0,0.625,1.25,0.6153846153846154,0.4444444444444444,1.0598290598290598,0.5806451612903226,0.4193548387096774,0.5679311473041221,0.5556,0.566,0.98
1131,2026-06-24,BAL,LAA,1,0,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.3986537353470491,0.4064,0.9182,0.99
1132,2026-06-24,KC,TB,1,1,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.43624489256936644,0.421,0.8298,0.93
1133,2026-06-24,PHI,WSH,1,0,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.45344283191227536,0.4384,0.7916,0.97
