season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-05-10,746964,WSH,BOS,8db45f2c5e9f00557048605877d363eb,2024-05-10T23:10:00Z,2024-05-10T22:05:39Z,superbook,-110,-120,1,0.489879,,0.4273,0
2024,2024-05-11,745422,LAD,SD,2cf9370ce453f4545e41326c55f9f160,2024-05-12T00:40:00Z,2024-05-11T23:35:38Z,superbook,-140,110,1,0.550562,,0.4444,1
2024,2024-05-11,746069,PHI,MIA,a1f2e12c58b618ea9a55d32b70af583a,2024-05-11T20:10:00Z,2024-05-11T19:05:38Z,betrivers,-104,-121,3,0.481344,,0.4247,0
2024,2024-05-11,746554,TEX,COL,963c5b9ca0f5b05f3f8582580b33323d,2024-05-12T00:10:00Z,2024-05-11T23:05:38Z,superbook,-120,-110,1,0.510121,,0.4208,0
2024,2024-05-11,746797,CLE,CWS,233da9a39280b527667f0cfc48f17c85,2024-05-11T23:10:00Z,2024-05-11T22:05:38Z,betrivers,-104,-121,3,0.477908,,0.4254,0
2024,2024-05-12,745092,NYY,TB,09984e7be898979e40ce7d55820ecafd,2024-05-12T17:40:00Z,2024-05-12T16:35:38Z,betrivers,-122,-103,3,0.516670,,0.4321,1
2024,2024-05-12,745345,CIN,SF,7671d98d9352533b831205aaf4cbe2e2,2024-05-12T20:05:00Z,2024-05-12T19:00:37Z,betrivers,106,-132,3,0.456740,,0.4366,3
2024,2024-05-12,745499,CHC,PIT,73e7ac1d0b84afaabe7e591792c02dbf,2024-05-12T17:35:00Z,2024-05-12T16:30:38Z,superbook,-110,-120,1,0.489879,,0.4165,2
2024,2024-05-13,745343,LAD,SF,ba9ef91a83ae9aa0cd10ddbb38caf9ba,2024-05-14T01:45:00Z,2024-05-14T00:40:38Z,betrivers,105,-132,3,0.460803,,0.4442,1
2024,2024-05-13,745826,PHI,NYM,ba4f02b1d9a7edb34b0c0d8fbead1a7e,2024-05-13T23:10:00Z,2024-05-13T22:05:38Z,betrivers,107,-134,3,0.450617,,0.4432,0
2024,2024-05-13,746471,MIA,DET,7b676c4e3ebeb03dae670e48cc9f983a,2024-05-13T22:40:00Z,2024-05-13T21:35:38Z,superbook,-120,-110,1,0.510121,,0.4197,0
2024,2024-05-13,747204,CIN,ARI,af68c482c4ea9a121ad9d9013db88e2a,2024-05-14T01:40:00Z,2024-05-14T00:35:38Z,superbook,-110,-120,1,0.489879,,0.4201,0
2024,2024-05-14,745342,LAD,SF,1b137d4decb2576400c7492276222534,2024-05-15T01:45:00Z,2024-05-15T00:40:39Z,betrivers,-108,-115,3,0.488282,,0.4141,0
2024,2024-05-14,746796,WSH,CWS,01862379c040252f61017b5abfb863f6,2024-05-14T23:40:00Z,2024-05-14T22:35:39Z,betrivers,115,-143,2,0.441457,,0.4344,0
2024,2024-05-14,746799,WSH,CWS,01862379c040252f61017b5abfb863f6,2024-05-14T23:40:00Z,2024-05-14T22:35:39Z,betrivers,115,-143,2,0.441457,,0.4462,0
2024,2024-05-14,746962,TB,BOS,82ab1b7371834c3970e22640b357972c,2024-05-14T23:10:00Z,2024-05-14T22:05:39Z,betrivers,-114,-110,3,0.502808,,0.4199,1
2024,2024-05-15,746231,STL,LAA,43488a8a8801630ce77758801532d3a4,2024-05-16T01:07:00Z,2024-05-16T00:05:38Z,betrivers,104,-129,3,0.473490,,0.4381,4
2024,2024-05-15,747123,CHC,ATL,85dad128f74a1eb778ba836481833406,2024-05-15T23:20:00Z,2024-05-15T22:15:39Z,superbook,-115,-115,1,0.500000,,0.432,3
2024,2024-05-16,745580,NYM,PHI,8aef614d6637051c9d8a7819aacdce0c,2024-05-16T22:40:00Z,2024-05-16T21:35:39Z,superbook,-110,-120,1,0.489879,,0.4172,1
2024,2024-05-16,746150,CIN,LAD,6bb4ca7b9c2f74c3a72b1e6591a205ae,2024-05-17T02:10:00Z,2024-05-17T01:05:39Z,betrivers,108,-136,3,0.459680,,0.4384,2
2024,2024-05-16,746959,TB,BOS,999a0ef1d17b92dd1eb79fcbbff311c8,2024-05-16T23:10:00Z,2024-05-16T22:05:39Z,betrivers,-108,-115,3,0.484846,,0.4438,0
2024,2024-05-17,745335,COL,SF,a635f5b45786b6a4fc42db3e1acf0c89,2024-05-18T02:15:00Z,2024-05-18T01:10:39Z,betrivers,105,-130,3,0.458641,,0.4159,4
2024,2024-05-19,746144,CIN,LAD,6c4ab4eb18780705817177822fe45fa9,2024-05-19T20:10:00Z,2024-05-19T19:05:37Z,betrivers,-106,-118,3,0.488190,,0.4417,0
2024,2024-05-19,747198,DET,ARI,f494a80eecf43770676ec48c3e81a410,2024-05-19T20:10:00Z,2024-05-19T19:05:37Z,superbook,-115,-115,1,0.500000,,0.4255,2
2024,2024-05-21,745090,BOS,TB,6f7fb17fd43cc243724f312e42c5b2fc,2024-05-21T22:50:00Z,2024-05-21T21:45:38Z,superbook,-115,-115,1,0.500000,,0.4436,2
2024,2024-05-21,745503,SF,PIT,c76d10809cc04da8ef542c784cdac107,2024-05-21T22:40:00Z,2024-05-21T21:35:38Z,betrivers,-109,-114,3,0.496465,,0.442,2
2024,2024-05-21,746716,SD,CIN,af4f2b5b0c8576c86642cae843356e21,2024-05-21T22:40:00Z,2024-05-21T21:35:38Z,superbook,-125,-105,1,0.520305,,0.4453,0
2024,2024-05-21,746875,ATL,CHC,be8932096e8883e582de4179f4f54371,2024-05-21T23:40:00Z,2024-05-21T22:35:38Z,superbook,-150,115,1,0.563319,,0.4269,0
