season,date,game_pk,away,home,p_nrfi,fi_total_runs
2025,2025-06-21,777410,ARI,COL,0.355932,3
2025,2025-06-21,777416,WSH,LAD,0.355932,0
2025,2025-06-22,777398,WSH,LAD,0.38069,0
2025,2025-06-22,777399,ARI,COL,0.355932,0
2025,2025-06-24,777379,LAD,COL,0.355932,1
2025,2025-06-25,777358,LAD,COL,0.361763,0
2025,2025-06-26,777344,LAD,COL,0.355932,0
2025,2025-07-01,777285,HOU,COL,0.411567,1
2025,2025-07-02,777269,HOU,COL,0.355932,1
2025,2025-07-03,777261,LAA,ATL,0.409054,1
2025,2025-07-04,777243,CWS,COL,0.393564,0
2025,2025-07-05,777232,CWS,COL,0.399747,4
2025,2025-07-18,777102,MIN,COL,0.355932,4
2025,2025-07-18,777114,NYY,ATL,0.403257,3
2025,2025-07-19,777080,MIN,COL,0.355932,0
2025,2025-07-19,777097,NYY,ATL,0.355932,0
2025,2025-07-20,777083,NYY,ATL,0.389404,2
2025,2025-07-21,777053,STL,COL,0.355932,0
2025,2025-07-21,777069,SF,ATL,0.410888,6
2025,2025-07-22,777049,STL,COL,0.355932,1
2025,2025-07-23,777028,STL,COL,0.389149,0
2025,2025-07-25,777012,LAD,BOS,0.397218,0
2025,2025-07-27,776983,LAD,BOS,0.392997,1
2025,2025-08-01,776919,PIT,COL,0.380377,10
2025,2025-08-03,776886,PIT,COL,0.384395,3
2025,2025-08-05,776854,TOR,COL,0.355932,2
2025,2025-08-06,776836,TOR,COL,0.355932,1
2025,2025-08-06,776839,STL,LAD,0.355932,0
2025,2025-08-08,776823,TOR,LAD,0.364027,0
2025,2025-08-08,776831,OAK,BAL,0.37262,3
2025,2025-08-09,776819,MIA,ATL,0.390778,0
2025,2025-08-09,778431,MIA,ATL,0.361424,0
2025,2025-08-14,776742,ARI,COL,0.355932,3
2025,2025-08-15,776730,ARI,COL,0.355932,1
2025,2025-08-16,776715,ARI,COL,0.355932,1
2025,2025-08-17,776701,ARI,COL,0.355932,0
2025,2025-08-18,776693,LAD,COL,0.355932,0
2025,2025-08-19,776671,LAD,COL,0.355932,2
2025,2025-08-20,776660,LAD,COL,0.355932,0
2025,2025-08-21,776644,LAD,COL,0.388715,3
2025,2025-08-21,776653,OAK,MIN,0.404765,0
2025,2025-08-25,776604,BOS,BAL,0.41189,1
2025,2025-08-29,776534,ARI,LAD,0.395317,0
2025,2025-08-29,776542,CHC,COL,0.39528,0
2025,2025-08-30,776526,CHC,COL,0.395375,1
